label,word,syllable,phon_stress,sidx,sN,syl_pos,syl_open_closed,corpus
a,ҫав.ра.ка.'лан,ҫав,0,1,4,initial,closed,zheltov
a,ҫав.ра.ка.'лан,ра,0,2,4,med,open,zheltov
a,ҫав.ра.ка.'лан,ка,0,3,4,med,open,zheltov
a,ҫав.ра.ка.'лан,'лан,1,4,4,final,closed,zheltov
a,ҫав.ра.ка.'лат,ҫав,0,1,4,initial,closed,zheltov
a,ҫав.ра.ка.'лат,ра,0,2,4,med,open,zheltov
a,ҫав.ра.ка.'лат,ка,0,3,4,med,open,zheltov
a,ҫав.ра.ка.'лат,'лат,1,4,4,final,closed,zheltov
a,ҫав.ра.ка.лат.'тар,ҫав,0,1,5,initial,closed,zheltov
a,ҫав.ра.ка.лат.'тар,ра,0,2,5,med,open,zheltov
a,ҫав.ра.ка.лат.'тар,ка,0,3,5,med,open,zheltov
a,ҫав.ра.ка.лат.'тар,лат,0,4,5,med,closed,zheltov
a,ҫав.ра.ка.лат.'тар,'тар,1,5,5,final,closed,zheltov
a,ҫав.ра.'кан,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.ра.'кан,ра,0,2,3,med,open,zheltov
a,ҫав.ра.'кан,'кан,1,3,3,final,closed,zheltov
a,ҫав.'ра.кӑш,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.'ра.кӑш,'ра,1,2,3,med,open,zheltov
ɵ,ҫав.'ра.кӑш,кӑш,0,3,3,final,closed,zheltov
a,ҫав.ра.'лан,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.ра.'лан,ра,0,2,3,med,open,zheltov
a,ҫав.ра.'лан,'лан,1,3,3,final,closed,zheltov
a,ҫав.ра.'лат,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.ра.'лат,ра,0,2,3,med,open,zheltov
a,ҫав.ра.'лат,'лат,1,3,3,final,closed,zheltov
a,ҫав.'ран.кӑ,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.'ран.кӑ,'ран,1,2,3,med,closed,zheltov
ɵ,ҫав.'ран.кӑ,кӑ,0,3,3,final,open,zheltov
a,ҫав.раш.'ка,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.раш.'ка,раш,0,2,3,med,closed,zheltov
a,ҫав.раш.'ка,'ка,1,3,3,final,open,zheltov
a,ҫав.раш.ка.'лан,ҫав,0,1,4,initial,closed,zheltov
a,ҫав.раш.ка.'лан,раш,0,2,4,med,closed,zheltov
a,ҫав.раш.ка.'лан,ка,0,3,4,med,open,zheltov
a,ҫав.раш.ка.'лан,'лан,1,4,4,final,closed,zheltov
a,ҫав.раш.ка.'лат,ҫав,0,1,4,initial,closed,zheltov
a,ҫав.раш.ка.'лат,раш,0,2,4,med,closed,zheltov
a,ҫав.раш.ка.'лат,ка,0,3,4,med,open,zheltov
a,ҫав.раш.ка.'лат,'лат,1,4,4,final,closed,zheltov
a,ҫав.раш.'кан,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.раш.'кан,раш,0,2,3,med,closed,zheltov
a,ҫав.раш.'кан,'кан,1,3,3,final,closed,zheltov
a,'ҫав.рӑм,'ҫав,1,1,2,initial,closed,zheltov
ɵ,'ҫав.рӑм,рӑм,0,2,2,final,closed,zheltov
a,'ҫав.рӑн,'ҫав,1,1,2,initial,closed,zheltov
ɵ,'ҫав.рӑн,рӑн,0,2,2,final,closed,zheltov
a,ҫав.рӑ.'нас.лӑх,ҫав,0,1,4,initial,closed,zheltov
ɵ,ҫав.рӑ.'нас.лӑх,рӑ,0,2,4,med,open,zheltov
a,ҫав.рӑ.'нас.лӑх,'нас,1,3,4,med,closed,zheltov
ɵ,ҫав.рӑ.'нас.лӑх,лӑх,0,4,4,final,closed,zheltov
a,'ҫав.рӑ.нӑҫ,'ҫав,1,1,3,initial,closed,zheltov
ɵ,'ҫав.рӑ.нӑҫ,рӑ,0,2,3,med,open,zheltov
ɵ,'ҫав.рӑ.нӑҫ,нӑҫ,0,3,3,final,closed,zheltov
a,'ҫав.рӑ.нӑҫ.лӑ,'ҫав,1,1,4,initial,closed,zheltov
ɵ,'ҫав.рӑ.нӑҫ.лӑ,рӑ,0,2,4,med,open,zheltov
ɵ,'ҫав.рӑ.нӑҫ.лӑ,нӑҫ,0,3,4,med,closed,zheltov
ɵ,'ҫав.рӑ.нӑҫ.лӑ,лӑ,0,4,4,final,open,zheltov
a,'ҫав.рӑ.нӑҫ.сӑр,'ҫав,1,1,4,initial,closed,zheltov
ɵ,'ҫав.рӑ.нӑҫ.сӑр,рӑ,0,2,4,med,open,zheltov
ɵ,'ҫав.рӑ.нӑҫ.сӑр,нӑҫ,0,3,4,med,closed,zheltov
ɵ,'ҫав.рӑ.нӑҫ.сӑр,сӑр,0,4,4,final,closed,zheltov
a,ҫав.рӑ.нӑ.'ҫу,ҫав,0,1,4,initial,closed,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу,рӑ,0,2,4,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу,нӑ,0,3,4,med,open,zheltov
u,ҫав.рӑ.нӑ.'ҫу,'ҫу,1,4,4,final,open,zheltov
a,ҫав.рӑ.нӑ.'ҫу.лӑх,ҫав,0,1,5,initial,closed,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.лӑх,рӑ,0,2,5,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.лӑх,нӑ,0,3,5,med,open,zheltov
u,ҫав.рӑ.нӑ.'ҫу.лӑх,'ҫу,1,4,5,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.лӑх,лӑх,0,5,5,final,closed,zheltov
a,ҫав.рӑ.нӑ.'ҫул.лӑ,ҫав,0,1,5,initial,closed,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫул.лӑ,рӑ,0,2,5,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫул.лӑ,нӑ,0,3,5,med,open,zheltov
u,ҫав.рӑ.нӑ.'ҫул.лӑ,'ҫул,1,4,5,med,closed,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫул.лӑ,лӑ,0,5,5,final,open,zheltov
a,ҫав.рӑ.нӑ.'ҫу.сӑр,ҫав,0,1,5,initial,closed,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.сӑр,рӑ,0,2,5,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.сӑр,нӑ,0,3,5,med,open,zheltov
u,ҫав.рӑ.нӑ.'ҫу.сӑр,'ҫу,1,4,5,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.сӑр,сӑр,0,5,5,final,closed,zheltov
a,ҫав.рӑ.нӑ.ҫу.сӑр.'лан,ҫав,0,1,6,initial,closed,zheltov
ɵ,ҫав.рӑ.нӑ.ҫу.сӑр.'лан,рӑ,0,2,6,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.ҫу.сӑр.'лан,нӑ,0,3,6,med,open,zheltov
u,ҫав.рӑ.нӑ.ҫу.сӑр.'лан,ҫу,0,4,6,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.ҫу.сӑр.'лан,сӑр,0,5,6,med,closed,zheltov
a,ҫав.рӑ.нӑ.ҫу.сӑр.'лан,'лан,1,6,6,final,closed,zheltov
a,ҫав.рӑ.нӑ.ҫу.сӑр.'лат,ҫав,0,1,6,initial,closed,zheltov
ɵ,ҫав.рӑ.нӑ.ҫу.сӑр.'лат,рӑ,0,2,6,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.ҫу.сӑр.'лат,нӑ,0,3,6,med,open,zheltov
u,ҫав.рӑ.нӑ.ҫу.сӑр.'лат,ҫу,0,4,6,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.ҫу.сӑр.'лат,сӑр,0,5,6,med,closed,zheltov
a,ҫав.рӑ.нӑ.ҫу.сӑр.'лат,'лат,1,6,6,final,closed,zheltov
a,ҫав.рӑ.нӑ.'ҫу.сӑр.лӑх,ҫав,0,1,6,initial,closed,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.сӑр.лӑх,рӑ,0,2,6,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.сӑр.лӑх,нӑ,0,3,6,med,open,zheltov
u,ҫав.рӑ.нӑ.'ҫу.сӑр.лӑх,'ҫу,1,4,6,med,open,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.сӑр.лӑх,сӑр,0,5,6,med,closed,zheltov
ɵ,ҫав.рӑ.нӑ.'ҫу.сӑр.лӑх,лӑх,0,6,6,final,closed,zheltov
a,'ҫав.рӑ.нӑш,'ҫав,1,1,3,initial,closed,zheltov
ɵ,'ҫав.рӑ.нӑш,рӑ,0,2,3,med,open,zheltov
ɵ,'ҫав.рӑ.нӑш,нӑш,0,3,3,final,closed,zheltov
a,'ҫав.рӑ.нӑш.лӑх,'ҫав,1,1,4,initial,closed,zheltov
ɵ,'ҫав.рӑ.нӑш.лӑх,рӑ,0,2,4,med,open,zheltov
ɵ,'ҫав.рӑ.нӑш.лӑх,нӑш,0,3,4,med,closed,zheltov
ɵ,'ҫав.рӑ.нӑш.лӑх,лӑх,0,4,4,final,closed,zheltov
a,ҫав.рӑн.ка.'ла.рӑш,ҫав,0,1,5,initial,closed,zheltov
ɵ,ҫав.рӑн.ка.'ла.рӑш,рӑн,0,2,5,med,closed,zheltov
a,ҫав.рӑн.ка.'ла.рӑш,ка,0,3,5,med,open,zheltov
a,ҫав.рӑн.ка.'ла.рӑш,'ла,1,4,5,med,open,zheltov
ɵ,ҫав.рӑн.ка.'ла.рӑш,рӑш,0,5,5,final,closed,zheltov
a,ҫав.рӑн.'ка.лӑш,ҫав,0,1,4,initial,closed,zheltov
ɵ,ҫав.рӑн.'ка.лӑш,рӑн,0,2,4,med,closed,zheltov
a,ҫав.рӑн.'ка.лӑш,'ка,1,3,4,med,open,zheltov
ɵ,ҫав.рӑн.'ка.лӑш,лӑш,0,4,4,final,closed,zheltov
a,ҫав.рӑн.'тар,ҫав,0,1,3,initial,closed,zheltov
ɵ,ҫав.рӑн.'тар,рӑн,0,2,3,med,closed,zheltov
a,ҫав.рӑн.'тар,'тар,1,3,3,final,closed,zheltov
a,ҫав.рӑ.'ну,ҫав,0,1,3,initial,closed,zheltov
ɵ,ҫав.рӑ.'ну,рӑ,0,2,3,med,open,zheltov
u,ҫав.рӑ.'ну,'ну,1,3,3,final,open,zheltov
a,ҫав.рӑ.'ну.лӑх,ҫав,0,1,4,initial,closed,zheltov
ɵ,ҫав.рӑ.'ну.лӑх,рӑ,0,2,4,med,open,zheltov
u,ҫав.рӑ.'ну.лӑх,'ну,1,3,4,med,open,zheltov
ɵ,ҫав.рӑ.'ну.лӑх,лӑх,0,4,4,final,closed,zheltov
a,'ҫав.тӑн,'ҫав,1,1,2,initial,closed,zheltov
ɵ,'ҫав.тӑн,тӑн,0,2,2,final,closed,zheltov
a,'ҫак,'ҫак,1,1,1,initial_final,closed,zheltov
a,'ҫак,'ҫак,1,1,1,initial_final,closed,zheltov
a,'ҫак,'ҫак,1,1,1,initial_final,closed,zheltov
a,'ҫа.кӑ,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.кӑ,кӑ,0,2,2,final,open,zheltov
a,'ҫа.кӑ,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.кӑ,кӑ,0,2,2,final,open,zheltov
a,'ҫа.кӑн,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.кӑн,кӑн,0,2,2,final,closed,zheltov
a,ҫа.кӑн.'та,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.кӑн.'та,кӑн,0,2,3,med,closed,zheltov
a,ҫа.кӑн.'та,'та,1,3,3,final,open,zheltov
a,ҫа.кӑн.'тар,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.кӑн.'тар,кӑн,0,2,3,med,closed,zheltov
a,ҫа.кӑн.'тар,'тар,1,3,3,final,closed,zheltov
a,'ҫа.кӑн.чӑк,'ҫа,1,1,3,initial,open,zheltov
ɵ,'ҫа.кӑн.чӑк,кӑн,0,2,3,med,closed,zheltov
ɵ,'ҫа.кӑн.чӑк,чӑк,0,3,3,final,closed,zheltov
a,ҫак.'лан,ҫак,0,1,2,initial,closed,zheltov
a,ҫак.'лан,'лан,1,2,2,final,closed,zheltov
a,ҫак.лан.'тар,ҫак,0,1,3,initial,closed,zheltov
a,ҫак.лан.'тар,лан,0,2,3,med,closed,zheltov
a,ҫак.лан.'тар,'тар,1,3,3,final,closed,zheltov
a,ҫак.'лан.чӑк,ҫак,0,1,3,initial,closed,zheltov
a,ҫак.'лан.чӑк,'лан,1,2,3,med,closed,zheltov
ɵ,ҫак.'лан.чӑк,чӑк,0,3,3,final,closed,zheltov
a,ҫак.'лат,ҫак,0,1,2,initial,closed,zheltov
a,ҫак.'лат,'лат,1,2,2,final,closed,zheltov
a,ҫак.лат.'ма,ҫак,0,1,3,initial,closed,zheltov
a,ҫак.лат.'ма,лат,0,2,3,med,closed,zheltov
a,ҫак.лат.'ма,'ма,1,3,3,final,open,zheltov
a,ҫак.лат.'тар,ҫак,0,1,3,initial,closed,zheltov
a,ҫак.лат.'тар,лат,0,2,3,med,closed,zheltov
a,ҫак.лат.'тар,'тар,1,3,3,final,closed,zheltov
a,ҫак.лаш.'ка,ҫак,0,1,3,initial,closed,zheltov
a,ҫак.лаш.'ка,лаш,0,2,3,med,closed,zheltov
a,ҫак.лаш.'ка,'ка,1,3,3,final,open,zheltov
a,ҫак.'ма,ҫак,0,1,2,initial,closed,zheltov
a,ҫак.'ма,'ма,1,2,2,final,open,zheltov
a,ҫак.'тар,ҫак,0,1,2,initial,closed,zheltov
a,ҫак.'тар,'тар,1,2,2,final,closed,zheltov
a,ҫал.'ла,ҫал,0,1,2,initial,closed,zheltov
a,ҫал.'ла,'ла,1,2,2,final,open,zheltov
a,ҫал.'лан,ҫал,0,1,2,initial,closed,zheltov
a,ҫал.'лан,'лан,1,2,2,final,closed,zheltov
a,'ҫам,'ҫам,1,1,1,initial_final,closed,zheltov
a,ҫам.'ка,ҫам,0,1,2,initial,closed,zheltov
a,ҫам.'ка,'ка,1,2,2,final,open,zheltov
a,ҫам.'ка.лӑх,ҫам,0,1,3,initial,closed,zheltov
a,ҫам.'ка.лӑх,'ка,1,2,3,med,open,zheltov
ɵ,ҫам.'ка.лӑх,лӑх,0,3,3,final,closed,zheltov
a,ҫам.'лан,ҫам,0,1,2,initial,closed,zheltov
a,ҫам.'лан,'лан,1,2,2,final,closed,zheltov
a,'ҫам.лӑх,'ҫам,1,1,2,initial,closed,zheltov
ɵ,'ҫам.лӑх,лӑх,0,2,2,final,closed,zheltov
a,'ҫам.рӑк,'ҫам,1,1,2,initial,closed,zheltov
ɵ,'ҫам.рӑк,рӑк,0,2,2,final,closed,zheltov
a,'ҫам.рӑк.кӗ.рӗм,'ҫам,1,1,4,initial,closed,zheltov
ɵ,'ҫам.рӑк.кӗ.рӗм,рӑк,0,2,4,med,closed,zheltov
ø,'ҫам.рӑк.кӗ.рӗм,кӗ,0,3,4,med,open,zheltov
ø,'ҫам.рӑк.кӗ.рӗм,рӗм,0,4,4,final,closed,zheltov
a,ҫам.рӑк.'ла,ҫам,0,1,3,initial,closed,zheltov
ɵ,ҫам.рӑк.'ла,рӑк,0,2,3,med,closed,zheltov
a,ҫам.рӑк.'ла,'ла,1,3,3,final,open,zheltov
a,ҫам.рӑк.'лан,ҫам,0,1,3,initial,closed,zheltov
ɵ,ҫам.рӑк.'лан,рӑк,0,2,3,med,closed,zheltov
a,ҫам.рӑк.'лан,'лан,1,3,3,final,closed,zheltov
a,ҫам.рӑк.лан.'тар,ҫам,0,1,4,initial,closed,zheltov
ɵ,ҫам.рӑк.лан.'тар,рӑк,0,2,4,med,closed,zheltov
a,ҫам.рӑк.лан.'тар,лан,0,3,4,med,closed,zheltov
a,ҫам.рӑк.лан.'тар,'тар,1,4,4,final,closed,zheltov
a,ҫам.рӑк.'лат,ҫам,0,1,3,initial,closed,zheltov
ɵ,ҫам.рӑк.'лат,рӑк,0,2,3,med,closed,zheltov
a,ҫам.рӑк.'лат,'лат,1,3,3,final,closed,zheltov
a,'ҫам.рӑк.лӑх,'ҫам,1,1,3,initial,closed,zheltov
ɵ,'ҫам.рӑк.лӑх,рӑк,0,2,3,med,closed,zheltov
ɵ,'ҫам.рӑк.лӑх,лӑх,0,3,3,final,closed,zheltov
a,'ҫан,'ҫан,1,1,1,initial_final,closed,zheltov
a,ҫан.'ҫу.рӑм,ҫан,0,1,3,initial,closed,zheltov
u,ҫан.'ҫу.рӑм,'ҫу,1,2,3,med,open,zheltov
ɵ,ҫан.'ҫу.рӑм,рӑм,0,3,3,final,closed,zheltov
a,ҫан.'пуҫ,ҫан,0,1,2,initial,closed,zheltov
u,ҫан.'пуҫ,'пуҫ,1,2,2,final,closed,zheltov
a,'ҫа.нӑ,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.нӑ,нӑ,0,2,2,final,open,zheltov
a,'ҫа.нӑ.сӑр,'ҫа,1,1,3,initial,open,zheltov
ɵ,'ҫа.нӑ.сӑр,нӑ,0,2,3,med,open,zheltov
ɵ,'ҫа.нӑ.сӑр,сӑр,0,3,3,final,closed,zheltov
a,ҫан.'та.лӑк,ҫан,0,1,3,initial,closed,zheltov
a,ҫан.'та.лӑк,'та,1,2,3,med,open,zheltov
ɵ,ҫан.'та.лӑк,лӑк,0,3,3,final,closed,zheltov
a,'ҫап,'ҫап,1,1,1,initial_final,closed,zheltov
a,'ҫап,'ҫап,1,1,1,initial_final,closed,zheltov
a,ҫап.ҫав.ра.'ка,ҫап,0,1,4,initial,closed,zheltov
a,ҫап.ҫав.ра.'ка,ҫав,0,2,4,med,closed,zheltov
a,ҫап.ҫав.ра.'ка,ра,0,3,4,med,open,zheltov
a,ҫап.ҫав.ра.'ка,'ка,1,4,4,final,open,zheltov
a,ҫап.ҫа.'ра,ҫап,0,1,3,initial,closed,zheltov
a,ҫап.ҫа.'ра,ҫа,0,2,3,med,open,zheltov
a,ҫап.ҫа.'ра,'ра,1,3,3,final,open,zheltov
a,ҫа.'пах,ҫа,0,1,2,initial,open,zheltov
a,ҫа.'пах,'пах,1,2,2,final,closed,zheltov
a,'ҫа.пӑ,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.пӑ,пӑ,0,2,2,final,open,zheltov
a,'ҫа.пӑҫ,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.пӑҫ,пӑҫ,0,2,2,final,closed,zheltov
a,ҫа.пӑҫ.'тар,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.пӑҫ.'тар,пӑҫ,0,2,3,med,closed,zheltov
a,ҫа.пӑҫ.'тар,'тар,1,3,3,final,closed,zheltov
a,ҫа.пӑ.'ҫу,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.пӑ.'ҫу,пӑ,0,2,3,med,open,zheltov
u,ҫа.пӑ.'ҫу,'ҫу,1,3,3,final,open,zheltov
a,ҫа.пӑ.'лан,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.пӑ.'лан,пӑ,0,2,3,med,open,zheltov
a,ҫа.пӑ.'лан,'лан,1,3,3,final,closed,zheltov
a,'ҫа.пӑл.лӑ,'ҫа,1,1,3,initial,open,zheltov
ɵ,'ҫа.пӑл.лӑ,пӑл,0,2,3,med,closed,zheltov
ɵ,'ҫа.пӑл.лӑ,лӑ,0,3,3,final,open,zheltov
a,'ҫа.пӑм,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.пӑм,пӑм,0,2,2,final,closed,zheltov
a,'ҫа.пӑн,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.пӑн,пӑн,0,2,2,final,closed,zheltov
a,ҫа.пӑн.'тар,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.пӑн.'тар,пӑн,0,2,3,med,closed,zheltov
a,ҫа.пӑн.'тар,'тар,1,3,3,final,closed,zheltov
a,ҫа.пӑ.'ну,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.пӑ.'ну,пӑ,0,2,3,med,open,zheltov
u,ҫа.пӑ.'ну,'ну,1,3,3,final,open,zheltov
a,'ҫа.пӑр,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.пӑр,пӑр,0,2,2,final,closed,zheltov
a,ҫап.ка.'лан,ҫап,0,1,3,initial,closed,zheltov
a,ҫап.ка.'лан,ка,0,2,3,med,open,zheltov
a,ҫап.ка.'лан,'лан,1,3,3,final,closed,zheltov
a,ҫап.ка.лан.'тар,ҫап,0,1,4,initial,closed,zheltov
a,ҫап.ка.лан.'тар,ка,0,2,4,med,open,zheltov
a,ҫап.ка.лан.'тар,лан,0,3,4,med,closed,zheltov
a,ҫап.ка.лан.'тар,'тар,1,4,4,final,closed,zheltov
a,ҫап.ка.'лан.чӑк,ҫап,0,1,4,initial,closed,zheltov
a,ҫап.ка.'лан.чӑк,ка,0,2,4,med,open,zheltov
a,ҫап.ка.'лан.чӑк,'лан,1,3,4,med,closed,zheltov
ɵ,ҫап.ка.'лан.чӑк,чӑк,0,4,4,final,closed,zheltov
a,ҫап.ка.лан.чӑк.'ла,ҫап,0,1,5,initial,closed,zheltov
a,ҫап.ка.лан.чӑк.'ла,ка,0,2,5,med,open,zheltov
a,ҫап.ка.лан.чӑк.'ла,лан,0,3,5,med,closed,zheltov
ɵ,ҫап.ка.лан.чӑк.'ла,чӑк,0,4,5,med,closed,zheltov
a,ҫап.ка.лан.чӑк.'ла,'ла,1,5,5,final,open,zheltov
a,ҫап.ка.'лан.чӑк.лӑх,ҫап,0,1,5,initial,closed,zheltov
a,ҫап.ка.'лан.чӑк.лӑх,ка,0,2,5,med,open,zheltov
a,ҫап.ка.'лан.чӑк.лӑх,'лан,1,3,5,med,closed,zheltov
ɵ,ҫап.ка.'лан.чӑк.лӑх,чӑк,0,4,5,med,closed,zheltov
ɵ,ҫап.ка.'лан.чӑк.лӑх,лӑх,0,5,5,final,closed,zheltov
a,ҫап.ка.'лаш,ҫап,0,1,3,initial,closed,zheltov
a,ҫап.ка.'лаш,ка,0,2,3,med,open,zheltov
a,ҫап.ка.'лаш,'лаш,1,3,3,final,closed,zheltov
a,ҫап.ка.лаш.'тар,ҫап,0,1,4,initial,closed,zheltov
a,ҫап.ка.лаш.'тар,ка,0,2,4,med,open,zheltov
a,ҫап.ка.лаш.'тар,лаш,0,3,4,med,closed,zheltov
a,ҫап.ка.лаш.'тар,'тар,1,4,4,final,closed,zheltov
a,ҫап.ка.ла.'шу,ҫап,0,1,4,initial,closed,zheltov
a,ҫап.ка.ла.'шу,ка,0,2,4,med,open,zheltov
a,ҫап.ка.ла.'шу,ла,0,3,4,med,open,zheltov
u,ҫап.ка.ла.'шу,'шу,1,4,4,final,open,zheltov
a,'ҫап.кӑ,'ҫап,1,1,2,initial,closed,zheltov
